№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
18,"""КОММЕРЧЕСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1101105000028,1105021070,41.20 Строительство жилых и нежилых зданий,11 - Республика Коми,,ГОРОД ПЕЧОРА,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
19,"""КОРВЕНТ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1022501803873,2537063986,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,ГОРОД ВЛАДИВОСТОК,,Нет,01.08.2016,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
20,"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Юридическое лицо,Малое предприятие,1025004907080,5038038838,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Пушкино г,,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,36.0
21,"""КРИСТАЛЛ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1025204414784,5263029489,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,ГОРОД НИЖНИЙ НОВГОРОД,,Нет,01.08.2016,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
22,"""КРОВЛЯ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1032501798042,2536013862,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,Нет,01.08.2016,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
23,"""КРОКИ""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1020300796240,322000527,41.20 Строительство жилых и нежилых зданий,03 - Республика Бурятия,,г Северобайкальск,,Нет,01.08.2016,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
24,"""КУЗНЕЦКОТДЕЛСТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1034217000036,4217042099,41.20 Строительство жилых и нежилых зданий,42 - Кемеровская область,,ГОРОД НОВОКУЗНЕЦК,,Нет,01.08.2016,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
25,"""ЛАВИНА"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Малое предприятие,1035010952624,5027064258,41.2 Строительство жилых и нежилых зданий,50 - Московская область,,г Люберцы,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,40.0
26,"""МАДИСТ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1037800011578,7801226041,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
27,"""МАНСАРД"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1020500715234,507019182,41.2 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Буйнакск,,Нет,10.07.2021,,,,,Нет,Нет,Нет,Нет,Нет,0.0
28,"""МАС-СТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1023201286690,3235001270,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,ГОРОД БРЯНСК,,Нет,10.08.2020,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
29,"""МУЛЬТИЦЕНТР"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1035010953658,5056003838,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Дзержинский,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,8.0
30,"""НЕЗАВИСИМЫЙ ЭКСПЕРТНЫЙ ЦЕНТР-САНОЙ-2"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1022001741871,2010001590,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Грозный,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,1.0
31,"""НИЖТЕХСТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1025204421835,5263033012,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Бор,,Нет,10.08.2020,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
32,"""НФС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1025204415774,5263036197,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,1.0
33,"""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРСТРОЙ""",Юридическое лицо,Не является субъектом МСП,1172375088588,2312265912,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,ГОРОД КРАСНОДАР,ПОСЕЛОК ЗНАМЕНСКИЙ,Нет,10.08.2019,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
34,"""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК-7""",Юридическое лицо,Не является субъектом МСП,1142543000643,2543040024,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,ГОРОД ВЛАДИВОСТОК,,Нет,01.08.2016,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
35,"""ПОДЪЁМ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Юридическое лицо,Микропредприятие,1086829003910,6829044025,41.20 Строительство жилых и нежилых зданий,68 - Тамбовская область,,г Тамбов,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,0.0
36,"""ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ГАЗ УЛ.ЗЕЛЕНАЯ""",Юридическое лицо,Не является субъектом МСП,1116628000213,6628016902,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,РЕЖЕВСКОЙ РАЙОН,ГОРОД РЕЖ,,Нет,10.09.2016,10.08.2018,,,,Нет,Нет,Нет,Нет,Нет,
37,"""РЕЗОНАНС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1025204408866,5263007541,41.2 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,0.0
38,"""РЕМОНТНИК""",Юридическое лицо,Микропредприятие,1227700347093,7708405920,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.07.2022,,,,,Нет,Нет,Нет,Нет,Нет,1.0
39,"""РИЗВАН"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1035010951623,5027064466,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Пушкино г,г Ивантеевка,,Нет,10.08.2020,,,,,Нет,Нет,Нет,Нет,Нет,4.0
40,"""СЕРВИС - СТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1025204421000,5263032347,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,1.0
41,"""СЛАВИЯ"" ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО",Юридическое лицо,Не является субъектом МСП,1025204408811,5263002342,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,ГОРОД НИЖНИЙ НОВГОРОД,,Нет,10.08.2017,10.08.2018,,,,Нет,Нет,Нет,Нет,Нет,
42,"""СОЗИДАТЕЛИ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1025204419613,5263029432,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,ГОРОД НИЖНИЙ НОВГОРОД,,Нет,01.08.2016,10.06.2017,,,,Нет,Нет,Нет,Нет,Нет,
43,"""СПЕЦТЕХСТРОЙ-АНАПА"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1162301051494,2301092200,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,Анапский р-н,г Анапа,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,3.0
44,"""СПЕЦТЕХСТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1082301000308,2301065703,41.2 Строительство жилых и нежилых зданий,23 - Краснодарский край,АНАПСКИЙ РАЙОН,ГОРОД АНАПА,,Нет,01.08.2016,10.07.2021,,,,Нет,Нет,Нет,Нет,Нет,
45,"""СТРОИТЕЛЬНАЯ КОМПАНИЯ ""КОМИЛЬФО"", ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1132468031156,2464253220,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,ГОРОД КРАСНОЯРСК,,Нет,10.08.2020,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
46,"""СТРОИТЕЛЬНО-ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ-155"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1032304930415,2309056965,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,ГОРОД КРАСНОДАР,,Нет,01.08.2016,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
47,"""СТРОИТЕЛЬНОЕ ПРОИЗВОДСТВО ""КРАСНОЕ СОРМОВО"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1025204410538,5263034129,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,Нет,01.08.2016,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
48,"""СТРОИТЕЛЬНЫЙ КООПЕРАТИВ ""ТРИТОН""",Юридическое лицо,Не является субъектом МСП,1057002508914,7017122056,41.2 Строительство жилых и нежилых зданий,70 - Томская область,,г Томск,д Киргизка,Нет,01.08.2016,10.09.2021,,,,Нет,Нет,Нет,Нет,Нет,
49,"""СФЕРА-СТК"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1045010953008,5056004856,41.2 Строительство жилых и нежилых зданий,50 - Московская область,,г Дзержинский,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,1.0
50,"""ТМ СТРОЙ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1082724006914,2724123402,41.2 Строительство жилых и нежилых зданий,27 - Хабаровский край,,ГОРОД ХАБАРОВСК,,Нет,01.08.2016,10.08.2017,,,,Нет,Нет,Нет,Нет,Нет,
51,"""УГРЕША-СТРОЙСЕРВИС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Микропредприятие,1045010950379,5056004380,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Дзержинский,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,2.0
52,"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Среднее предприятие,1025007270551,5027006369,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Дзержинский,,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,201.0
53,"""ЮГАГРОСТРОЙ""- ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1022304519170,2347008899,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,ПРИМОРСКО-АХТАРСКИЙ РАЙОН,ГОРОД ПРИМОРСКО-АХТАРСК,,Нет,01.08.2016,10.08.2020,,,,Нет,Нет,Нет,Нет,Нет,
54,"""ЮГУС""  ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Не является субъектом МСП,1025204410032,5263003890,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,ГОРОД НИЖНИЙ НОВГОРОД,,Нет,01.08.2016,10.05.2022,,,,Нет,Нет,Нет,Нет,Нет,
55,0,Юридическое лицо,Микропредприятие,1193525030654,3525449747,41.10 Разработка строительных проектов,35 - Вологодская область,,г Вологда,,Нет,10.08.2021,,,,,Нет,Нет,Нет,Нет,Нет,0.0
56,АБАБИЙ ДМИТРИЙ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Микропредприятие,321463200023995,502418042250,41.20 Строительство жилых и нежилых зданий,46 - Курская область,,г Железногорск,,Нет,10.07.2021,,,,,Нет,Нет,Нет,Нет,Нет,
57,АБАБКОВ ДМИТРИЙ СЕРГЕЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322784700305722,784001166013,41.10 Разработка строительных проектов,78 - г.Санкт-Петербург,,,,Нет,10.11.2022,10.07.2023,,,,Нет,Нет,Нет,Нет,Нет,
58,АБАБНЕХ ХАСАН АЛИ МУСА,Индивидуальный предприниматель,Микропредприятие,324774600004151,400800139789,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
59,АБАДЖЯН АНДРАНИК ГРАИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,320753600026547,753617037039,41.20 Строительство жилых и нежилых зданий,75 - Забайкальский край,,ГОРОД ЧИТА,,Нет,10.12.2020,10.06.2021,,,,Нет,Нет,Нет,Нет,Нет,
60,АБАДЖЯН АРМЕН АЛЬБЕРТОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318774600262117,773118257708,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.06.2018,10.01.2019,,,,Нет,Нет,Нет,Нет,Нет,
61,АБАДЖЯН ГОАР ВАРДГЕЗОВНА,Индивидуальный предприниматель,Не является субъектом МСП,320623400041957,620560573211,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,Клепиковский р-н,,с Екшур,Нет,10.01.2021,10.02.2022,,,,Нет,Нет,Нет,Нет,Нет,
62,АБАДЖЯН ГРАЧЬЯ ГАГИКОВИЧ,Индивидуальный предприниматель,Микропредприятие,321784700063256,402815774459,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.04.2021,,,,,Нет,Нет,Нет,Нет,Нет,
63,АБАДЖЯН ЛЮДВИГ ОВИКОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,321753600025282,753624515448,41.20 Строительство жилых и нежилых зданий,75 - Забайкальский край,,г Чита,,Нет,10.09.2021,10.03.2022,,,,Нет,Нет,Нет,Нет,Нет,
64,АБАДЖЯН РУДИК МИКАЕЛОВИЧ,Индивидуальный предприниматель,Микропредприятие,321631300057525,366411409478,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,Город Самара,,Нет,10.10.2023,,,,,Нет,Нет,Нет,Нет,Нет,
65,АБАДЖЯН СИМОН ВАРДГЕСОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318502700042335,616804878085,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,ГОРОД ВИДНОЕ,СЕЛО МОЛОКОВО,Нет,10.07.2018,10.07.2022,,,,Нет,Нет,Нет,Нет,Нет,
66,АБАДИЕВА НАДИФА МУССАЕВНА,Индивидуальный предприниматель,Микропредприятие,323060000008017,60103755925,41.10 Разработка строительных проектов,06 - Республика Ингушетия,Малгобекский р-н,,с Зязиков-Юрт,Да,10.09.2023,,,,,Нет,Нет,Нет,Нет,Нет,
67,АБАЕВ АЗАМАТ ОСМАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323150000026448,151404720709,41.20 Строительство жилых и нежилых зданий,15 - Республика Северная Осетия - Алания,Алагирский р-н,,с Хаталдон,Да,10.09.2023,,,,,Нет,Нет,Нет,Нет,Нет,
68,АБАЕВ АЛЕКСАНДР ХАДЖИМУРАТОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,322150000002361,151601714260,41.20 Строительство жилых и нежилых зданий,15 - Республика Северная Осетия - Алания,,г Владикавказ,,Нет,10.02.2022,10.01.2023,,,,Нет,Нет,Нет,Нет,Нет,
69,АБАЕВ АСЛАН НУРГАЛИЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,318784700338196,71600349311,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.11.2018,10.08.2019,,,,Нет,Нет,Нет,Нет,Нет,
70,АБАЕВ БОРИС ГАБОЕВИЧ,Индивидуальный предприниматель,Микропредприятие,319151300020662,150105268313,41.20 Строительство жилых и нежилых зданий,15 - Республика Северная Осетия - Алания,,ГОРОД ВЛАДИКАВКАЗ,,Нет,10.09.2019,,,,,Нет,Нет,Нет,Нет,Нет,
71,АБАЕВ БОРИС ГАБОЕВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,311151329800048,150105268313,41.20 Строительство жилых и нежилых зданий,15 - Республика Северная Осетия - Алания,,Город Владикавказ,,Нет,01.08.2016,10.08.2018,,,,Нет,Нет,Нет,Нет,Нет,
72,АБАЕВ КЮРЫ ШАХРАНОВИЧ,Индивидуальный предприниматель,Микропредприятие,320784700178670,780720889986,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
73,АБАЕВ НИКОЛАЙ ВЛАДИМИРОВИЧ,Индивидуальный предприниматель,Не является субъектом МСП,319595800061471,591155984416,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,ГОРОД БЕРЕЗНИКИ,,Нет,10.06.2019,10.09.2019,,,,Нет,Нет,Нет,Нет,Нет,
74,АБАЕВ ОЛЕГ ВАЛЕРЬЕВИЧ,Индивидуальный предприниматель,Микропредприятие,322237500312813,231000263398,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,Нет,10.09.2022,,,,,Нет,Нет,Нет,Нет,Нет,
75,АБАЕВ РУСЛАН ХУСАИНОВИЧ,Индивидуальный предприниматель,Микропредприятие,323200000029392,200203360727,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,Ачхой-Мартановский р-н,,с Новый-Шарой,Да,10.07.2023,,,,,Нет,Нет,Нет,Нет,Нет,
76,АБАЕВА ВАЛЕНТИНА АНАТОЛЬЕВНА,Индивидуальный предприниматель,Не является субъектом МСП,319595800092975,591115421590,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,ГОРОД БЕРЕЗНИКИ,,Нет,10.09.2019,10.10.2019,,,,Нет,Нет,Нет,Нет,Нет,
77,АБАЕВА ИМАН КЮРЫЕВНА,Индивидуальный предприниматель,Микропредприятие,324200000001800,784812739603,41.20 Строительство жилых и нежилых зданий,20 - Чеченская Республика,,г Грозный,,Да,10.02.2024,,,,,Нет,Нет,Нет,Нет,Нет,
